plot,treatment,cwsi_avg,swsi_avg,final_value,recommendation,date
5003,2,,0.3003660339660338,0.3003660339660338,Do not irrigate,2024-09-12
5012,2,,0.0769230769230771,0.0769230769230771,Do not irrigate,2024-09-12
5001,3,,,,CWSI value is null,2024-09-12
5018,3,,,,CWSI value is null,2024-09-12
5020,3,,,,CWSI value is null,2024-09-12
2001,2,0.0,0.8781218781218779,0.5268731268731267,Irrigate,2024-09-12
2011,2,0.0,0.8119882317682318,0.487192939060939,Do not irrigate,2024-09-12
2026,2,0.0,0.6430235764235764,0.38581414585414586,Do not irrigate,2024-09-12
2003,3,0.0,,,Do not irrigate,2024-09-12
2018,3,0.0,,,Do not irrigate,2024-09-12
2020,3,0.0,,,Do not irrigate,2024-09-12
